City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cabo San Lucas,MX,2021-04-18 15:58:43,22.8909,-109.9124,78.01,38,1,3.44
68,Qaanaaq,GL,2021-04-18 16:01:40,77.484,-69.3632,4.86,73,100,8.68
69,Nizwa,OM,2021-04-18 16:01:40,22.9333,57.5333,87.06,18,100,7.65
70,Arraial Do Cabo,BR,2021-04-18 16:00:06,-22.9661,-42.0278,82.4,69,20,8.05
71,Aksu,CN,2021-04-18 16:01:41,41.1231,80.2644,67.35,26,100,10.09
72,Hithadhoo,MV,2021-04-18 16:01:42,-0.6,73.0833,83.59,60,8,7.85
73,Linqiong,CN,2021-04-18 16:01:42,30.4159,103.4609,60.8,100,40,1.39
74,Rio Cuarto,AR,2021-04-18 16:01:42,-33.1307,-64.3499,77.0,57,20,25.32
75,Arman,RU,2021-04-18 16:01:43,59.7,150.1667,28.02,95,95,5.03
76,Bend,US,2021-04-18 16:00:24,44.0582,-121.3153,61.0,30,1,8.05
77,Hilo,US,2021-04-18 15:58:12,19.7297,-155.09,68.0,77,20,5.75
78,Tezu,IN,2021-04-18 16:01:43,27.9167,96.1667,71.26,55,30,4.38
79,Tessalit,ML,2021-04-18 16:01:44,20.1986,1.0114,99.52,8,3,13.67
80,Saint George,US,2021-04-18 16:00:43,37.1041,-113.5841,59.0,22,1,3.44
81,Carnarvon,AU,2021-04-18 16:01:44,-24.8667,113.6333,76.26,68,0,18.07
82,Deputatskiy,RU,2021-04-18 16:01:44,69.3,139.9,-1.89,94,100,7.0
83,Praia Da Vitoria,PT,2021-04-18 16:01:45,38.7333,-27.0667,66.2,72,40,10.49
84,Touros,BR,2021-04-18 16:01:45,-5.1989,-35.4608,84.2,70,75,16.11
85,Mar Del Plata,AR,2021-04-18 16:00:00,-38.0023,-57.5575,71.6,73,75,13.8
86,Albany,US,2021-04-18 16:01:46,42.6001,-73.9662,55.0,53,74,7.11
87,Hami,CN,2021-04-18 16:01:46,42.8,93.45,65.23,21,21,18.12
88,East London,ZA,2021-04-18 16:01:46,-33.0153,27.9116,78.8,47,0,6.91
89,Faanui,PF,2021-04-18 16:01:47,-16.4833,-151.75,81.97,72,8,11.1
90,Karratha,AU,2021-04-18 16:01:47,-20.7377,116.8463,81.16,55,0,4.32
91,Bayan,CN,2021-04-18 16:01:47,46.0833,127.4,46.27,38,0,4.97
92,Pindushi,RU,2021-04-18 16:01:48,62.9152,34.58,42.3,78,75,4.72
93,Jasper,US,2021-04-18 16:01:48,37.2001,-94.3502,52.0,62,1,10.36
94,Baswa,IN,2021-04-18 16:01:49,27.15,76.5833,87.1,12,2,3.02
95,Dutse,NG,2021-04-18 16:01:49,11.7594,9.3392,103.08,8,88,6.29
96,Kodiak,US,2021-04-18 16:01:50,57.79,-152.4072,42.8,81,90,13.8
97,Guerrero Negro,MX,2021-04-18 16:01:50,27.9769,-114.0611,62.53,68,3,12.33
98,Muravlenko,RU,2021-04-18 16:01:50,63.7898,74.523,6.98,90,100,14.56
99,Irituia,BR,2021-04-18 16:01:51,-1.7711,-47.4381,80.51,86,100,3.13
100,Atuona,PF,2021-04-18 16:01:51,-9.8,-139.0333,80.29,73,95,16.89
101,Lata,PT,2021-04-18 16:01:52,40.1629,-8.3327,73.0,35,100,1.01
102,Pevek,RU,2021-04-18 16:01:52,69.7008,170.3133,19.49,78,80,22.75
103,Avarua,CK,2021-04-18 16:01:52,-21.2078,-159.775,77.0,83,48,6.91
104,Monroe,US,2021-04-18 15:57:31,43.1501,-77.6831,55.0,58,20,10.36
105,San Juan,AR,2021-04-18 15:57:07,-31.5375,-68.5364,81.66,43,23,7.27
106,Klaksvik,FO,2021-04-18 16:01:53,62.2266,-6.589,44.6,70,75,5.75
107,Naples,IT,2021-04-18 16:00:10,40.8333,14.25,57.2,51,40,6.91
108,Yalvac,TR,2021-04-18 16:01:54,38.2956,31.1778,65.95,45,78,0.36
109,Orhei,MD,2021-04-18 16:01:54,47.3831,28.8231,57.2,47,0,4.61
110,Jumla,NP,2021-04-18 16:01:54,29.2747,82.1838,46.49,60,75,1.88
111,Mount Gambier,AU,2021-04-18 16:01:55,-37.8333,140.7667,50.0,100,44,10.36
112,Los Llanos De Aridane,ES,2021-04-18 16:01:55,28.6585,-17.9182,71.6,56,20,12.66
113,Melfi,IT,2021-04-18 16:01:56,40.9965,15.6514,51.8,81,90,2.15
114,Leningradskiy,RU,2021-04-18 16:01:56,69.3833,178.4167,15.04,84,6,8.19
115,Jinchang,CN,2021-04-18 16:01:57,38.4953,102.1739,57.0,16,100,4.59
116,Bitung,ID,2021-04-18 16:01:57,1.4451,125.1824,75.2,94,20,1.14
117,Chicama,PE,2021-04-18 16:01:58,-7.8447,-79.1469,64.4,94,75,10.36
118,Vianden,LU,2021-04-18 16:01:58,49.935,6.2089,51.8,57,90,5.75
119,Meulaboh,ID,2021-04-18 16:01:59,4.1363,96.1285,79.54,79,95,1.88
120,Victoria,HK,2021-04-18 16:01:59,22.2855,114.1577,73.0,78,100,23.06
121,Nanortalik,GL,2021-04-18 16:02:00,60.1432,-45.2371,26.83,48,7,15.32
122,Mehamn,NO,2021-04-18 16:02:00,71.0357,27.8492,41.0,65,0,12.66
123,New Norfolk,AU,2021-04-18 16:02:00,-42.7826,147.0587,54.0,73,100,1.99
124,Saldanha,ZA,2021-04-18 16:02:01,-33.0117,17.9442,82.4,28,5,9.22
125,Thetford Mines,CA,2021-04-18 15:57:52,46.0913,-71.3013,43.0,75,98,4.61
126,Kargasok,RU,2021-04-18 16:02:02,59.0556,80.8572,17.2,77,100,18.5
127,Tecoanapa,MX,2021-04-18 16:02:02,16.5167,-98.75,82.02,56,0,5.84
128,Port Hardy,CA,2021-04-18 16:02:02,50.6996,-127.4199,48.2,87,20,4.18
129,Rabaul,PG,2021-04-18 16:02:03,-4.1967,152.1721,79.59,79,100,5.61
130,College,US,2021-04-18 16:02:03,64.8569,-147.8028,32.0,69,40,5.75
131,Les Cayes,HT,2021-04-18 16:02:04,18.2,-73.75,84.43,62,84,13.31
132,Hearst,CA,2021-04-18 16:02:04,49.6835,-83.6665,46.4,34,81,6.91
133,Chuy,UY,2021-04-18 16:02:05,-33.6971,-53.4616,73.76,60,15,9.66
134,Ixtapa,MX,2021-04-18 16:02:06,20.7,-105.2,71.6,73,1,3.44
135,Bajos De Haina,DO,2021-04-18 16:02:06,18.4154,-70.0332,86.0,66,20,9.22
136,Ponta Do Sol,PT,2021-04-18 16:02:06,32.6667,-17.1,66.0,64,41,5.01
137,Vao,NC,2021-04-18 16:02:07,-22.6667,167.4833,76.15,80,80,16.26
138,Tasiilaq,GL,2021-04-18 16:02:07,65.6145,-37.6368,24.8,68,20,9.22
139,Monze,ZM,2021-04-18 16:02:08,-16.2833,27.4833,66.06,59,88,6.76
140,Aranda De Duero,ES,2021-04-18 16:02:02,41.6704,-3.6892,59.4,33,2,10.22
141,Worcester,US,2021-04-18 16:01:07,42.3334,-71.8328,53.01,59,54,1.99
142,San Patricio,US,2021-04-18 16:02:09,28.017,-97.5169,60.8,63,90,13.8
143,Iquique,CL,2021-04-18 15:57:39,-20.2208,-70.1431,68.0,64,0,6.91
144,Talnakh,RU,2021-04-18 16:02:09,69.4865,88.3972,-16.85,92,34,1.95
145,Fort Nelson,CA,2021-04-18 16:00:11,58.8053,-122.7002,30.2,100,1,2.3
146,Broken Hill,AU,2021-04-18 16:02:10,-31.95,141.4333,51.8,54,7,1.72
147,Belluno,IT,2021-04-18 15:57:15,46.145,12.2214,57.0,52,99,1.99
148,Yar-Sale,RU,2021-04-18 16:02:10,66.8333,70.8333,-3.28,98,80,8.88
149,Biak,ID,2021-04-18 16:02:11,-0.9131,122.8766,74.37,80,100,3.09
150,Kungurtug,RU,2021-04-18 16:02:11,50.5994,97.5228,31.86,76,10,1.16
151,Kavieng,PG,2021-04-18 16:02:11,-2.5744,150.7967,81.72,76,90,9.48
152,Sisimiut,GL,2021-04-18 16:02:12,66.9395,-53.6735,18.55,61,100,14.23
153,Maxixe,MZ,2021-04-18 16:02:12,-23.8597,35.3472,75.2,60,20,6.82
154,Ternate,ID,2021-04-18 16:02:13,0.8,127.4,81.27,77,98,8.5
