City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
81,Mar Del Plata,AR,-38.0023,-57.5575,69.01,88,40,21.85
82,Montfoort,NL,52.0458,4.9528,43.0,80,92,6.93
83,Padang,ID,-0.9492,100.3543,75.97,88,98,3.38
84,Ostrovnoy,RU,68.0531,39.5131,36.81,71,100,6.6
85,Emerald,AU,-23.5333,148.1667,71.6,83,75,3.44
86,Suzhou,CN,31.3114,120.6181,66.0,88,0,8.95
87,Mezhdurechensk,RU,53.6942,88.0603,19.98,96,65,0.96
88,Vao,NC,-22.6667,167.4833,74.91,71,37,7.02
89,Anito,PH,12.4497,125.2886,75.69,90,97,3.18
90,Touros,BR,-5.1989,-35.4608,80.6,83,20,9.22
91,Kidal,ML,18.4411,1.4078,87.1,5,61,9.33
92,Kieta,PG,-6.2167,155.6333,80.35,80,100,1.86
93,Ariquemes,BR,-9.9133,-63.0408,79.7,91,67,1.97
94,Mareeba,AU,-17.0,145.4333,73.4,94,90,5.75
95,Hermanus,ZA,-34.4187,19.2345,66.0,85,22,8.01
96,Castro,BR,-24.7911,-50.0119,60.89,79,93,5.66
97,Margate,GB,51.3813,1.3862,46.0,68,19,4.0
98,Bluff,NZ,-46.6,168.3333,48.99,97,98,3.0
99,Mahanoro,MG,-19.9,48.8,72.19,87,100,4.41
100,Cape Town,ZA,-33.9258,18.4232,66.2,77,0,8.05
101,Vila Velha,BR,-20.3297,-40.2925,79.0,69,20,10.36
102,Byron Bay,AU,-28.65,153.6167,55.99,94,0,4.61
103,Zhigansk,RU,66.7697,123.3711,-4.43,100,100,4.23
104,Novyy Urgal,RU,51.0736,132.5642,37.49,71,0,1.57
105,Puerto Escondido,MX,15.85,-97.0667,89.6,74,40,6.91
106,Hennebont,FR,47.8051,-3.2734,57.0,67,0,10.36
107,Soyo,AO,-6.1349,12.3689,80.13,88,92,5.91
108,Vaini,TO,-21.2,-175.2,82.4,78,40,3.44
109,Carnarvon,AU,-24.8667,113.6333,62.6,88,12,8.05
110,Avarua,CK,-21.2078,-159.775,80.6,69,40,13.8
111,Ahipara,NZ,-35.1667,173.1667,63.39,71,100,1.95
112,Saint-Philippe,RE,-21.3585,55.7679,77.0,83,0,12.66
113,Tautira,PF,-17.7333,-149.15,86.0,62,40,11.5
114,Luderitz,NA,-26.6481,15.1594,67.23,68,100,8.48
115,Monte Santo,BR,-10.4378,-39.3328,78.44,63,100,4.81
116,Baruun-Urt,MN,46.6806,113.2792,50.58,72,98,2.59
117,Nagaur,IN,27.2,73.7333,74.44,40,0,8.72
118,Bud,US,39.447,-86.1758,46.99,65,75,14.14
119,Hofn,IS,64.2539,-15.2082,42.48,63,100,2.77
120,Aklavik,CA,68.2191,-135.0107,26.6,50,40,19.57
121,Vanimo,PG,-2.6741,141.3028,77.34,82,99,4.5
122,Kiama,AU,-34.6833,150.8667,50.0,67,0,3.0
123,Narsaq,GL,60.9167,-46.05,48.2,29,75,28.77
124,Longyearbyen,SJ,78.2186,15.6401,23.0,63,75,17.27
125,Villamaria,CO,5.0449,-75.5146,80.6,54,40,2.3
126,Arraial Do Cabo,BR,-22.9661,-42.0278,71.6,94,40,8.05
127,Deqing,CN,30.5448,119.9599,66.2,72,0,4.47
128,Kuala Terengganu,MY,5.3302,103.1408,78.8,94,40,3.44
129,Pisco,PE,-13.7,-76.2167,71.6,68,0,26.46
130,Morondava,MG,-20.2833,44.2833,77.76,73,35,8.86
131,Linfen,CN,36.0889,111.5189,55.26,79,86,1.36
132,Torbay,CA,47.6666,-52.7314,50.0,57,20,20.71
133,Batagay,RU,67.6333,134.6333,10.83,94,99,1.66
134,Hilo,US,19.7297,-155.09,82.4,54,40,9.22
135,Puri,IN,19.8,85.85,82.4,89,40,10.36
136,San Borja,BO,-14.8167,-66.85,83.28,79,45,3.42
137,Opunake,NZ,-39.4556,173.8583,55.99,94,12,3.0
138,Talnakh,RU,69.4865,88.3972,12.74,95,100,10.76
139,Salalah,OM,17.0151,54.0924,80.6,74,0,2.3
140,Dunedin,NZ,-45.8742,170.5036,54.0,91,94,1.99
141,Valdosta,US,30.8327,-83.2785,80.6,32,1,5.75
142,Alofi,NU,-19.0595,-169.9187,84.2,74,40,9.22
143,Hasaki,JP,35.7333,140.8333,46.4,93,20,2.3
144,Santa Cruz,BO,-17.8,-63.1667,82.4,74,40,13.8
145,Saskylakh,RU,71.9167,114.0833,-8.86,100,91,6.15
146,Kommunisticheskiy,RU,61.6789,64.4819,34.88,90,20,6.98
147,Acapulco,MX,16.8634,-99.8901,87.8,58,40,5.75
148,Porto Torres,IT,40.835,8.3972,55.4,94,20,5.75
149,Thenzawl,IN,23.3167,92.75,63.21,53,51,1.79
150,Iquique,CL,-20.2208,-70.1431,69.8,56,0,17.27
151,Nishihara,JP,26.1842,127.7558,71.6,83,75,16.11
152,Sonoita,MX,31.85,-112.8333,82.99,9,0,14.0
153,La Carolina,ES,38.2756,-3.6153,56.19,57,100,0.89
154,Howard Springs,AU,-12.497,131.047,78.8,89,0,3.44
155,Camara De Lobos,PT,32.6333,-16.9667,66.2,82,75,2.3
156,Saquena,PE,-4.6667,-73.5167,78.64,86,94,2.51
157,Sorgun,TR,39.8101,35.186,51.46,55,100,3.53
158,Avera,US,33.194,-82.5271,73.4,33,40,17.27
159,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,79,90,23.02
160,Tiksi,RU,71.6872,128.8694,8.64,89,100,9.31
161,Atuona,PF,-9.8,-139.0333,80.78,69,4,20.58
162,Sabang,ID,5.8933,95.3214,83.17,75,100,13.76
163,Hirara,JP,24.8,125.2833,73.42,89,100,24.94
164,Teya,RU,60.3778,92.6267,6.82,99,72,1.61
165,Sisimiut,GL,66.9395,-53.6735,31.19,78,56,5.7
